geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.54562128,-46.63929205,sao paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1046,-23.54612897,-46.64295148,sao paulo,SP
1041,-23.54439216,-46.63949931,sao paulo,SP
1035,-23.54157796,-46.64160722,sao paulo,SP
1012,-23.5477623,-46.63536054,são paulo,SP
1047,-23.54627311,-46.64122517,sao paulo,SP
1013,-23.54692321,-46.6342637,sao paulo,SP
1029,-23.54376906,-46.63427784,sao paulo,SP
1011,-23.54763955,-46.63603162,sao paulo,SP
